key,English,Japanese,Chinese
proceed_next_battle,BATTLE,バトル,战斗
proceed_next_boss,AREA BOSS,エリアボス,区域头目
proceed_next_store,SHOP,ショップ,商店
proceed_next_upgrade,WEAPONSMITH,鍛冶師,兵匠
proceed_next_ending,END,終了,终
proceed_next_next,NEXT AREA,次のエリアへ,下一个区域
proceed_next_event,EVENT,イベント,特殊事件
,,,
,,,
clear_time,Clear Time,クリア時間,通关时间
clear_time_s,timeAm s,timeAm秒,timeAm秒
clear_dps,DPS,DPS,每秒伤害
clear_dps_multi,Raid DPS,レイドDPS,团队每秒伤害
clear_rewards,Rewards,報酬,奖励
clear_rewards_multi,Rewards (Per Rabbit),報酬(ウサギごと),兔均奖励
clear_rewards_none,None (too slow!),なし(遅すぎる！),无（太磨蹭啦！）
clear_rewards_xp,xpNumxp,xpNumxp,xpNum点经验
clear_rewards_gold,goldNum,goldNum,goldNum
clear_rewards_both,xpNumxp & goldNum,xpNumxp & goldNum,xpNum点经验和goldNum
,,,
,,,
infodraw_strength,damage:,威力:,伤害：
infodraw_strength_sm,dmg:,威力:,伤害：
infodraw_cooldown,cd:,CD:,冷却：
infodraw_gcd,gcd:,GCD:,全局冷却：
infodraw_maxstock,max uses:,最大ストック:,次数上限：
infodraw_restock,restock:,再ストック:,恢复次数：
infodraw_seconds,timeAms,timeAms,timeAm秒
infodraw_upgrade,Upgrade to +upgradeAm, +upgradeAm にアップグレード,升至+upgradeAm
,,,
infodraw_charge,Charge: Charged attacks deal dmgAmx damage# when used.,チャージ: 使用時、チャージした攻撃でdmgAmxダメージ#を与える。,充能：充能攻击会造成dmgAm倍的伤害。
infodraw_supercharge,Supercharge: Supercharged attacks deal# dmgAmx damage when used.,スーパーチャージ: 使用時、スーパーチャージした攻撃で#dmgAmx ダメージを与える。,超级充能：超级充能攻击会#造成dmgAm倍的伤害。
infodraw_ultracharge,Ultracharge: Ultracharged attacks deal# dmgAmx damage when used.,ウルトラチャージ: 使用時、ウルトラチャージした攻撃で#dmgAmx ダメージを与える。,究极充能：究极充能攻击会#造成dmgAm倍的伤害。
infodraw_omegacharge,Omegacharge: Omegacharged attacks deal# dmgAmx damage when used.,オメガチャージ: 使用時、オメガチャージした攻撃で#dmgAmx ダメージを与える。,终极充能：究极充能攻击会#造成dmgAm倍的伤害。
infodraw_darkspell,Dualcast: All abilities hit twice.#Counter decreases with each ability used.,闇魔法: すべてのスキルの攻撃回数が2回になる。#各スキルが発動されるとカウンターが減る。,黑暗法咒：所有能力都会命中两次。#每使用一次能力，计数器数字便缩小一次。
,,,
,,,
infodraw_short_header,adjusted values,調整値,调整数值
infodraw_short_strength,dmg: amNum,威力: amNum,伤害：amNum
infodraw_short_cooldown,cd: amNums,CD: amNum秒,冷却：amNum秒
infodraw_short_gcd,gcd: amNums,GCD: amNum秒,全局冷却：amNum秒
infodraw_short_numsec,numSecs,numSec秒,numSec秒
,,,
game_title,RABBIT & STEEL,RABBIT & STEEL,兔子与钢铁
,,,
lootroll_success,claimed!!,獲得！,拿到啦！
lootroll_success_roll,(rollAm) claimed!!,(rollAm)獲得！,（rollAm）拿到啦！
lootroll_failure_roll,(rollAm) pick again...,(rollAm)もう一度選んでね…,（rollAm）再挑一件……
lootroll_skip,skipped!,スキップ済,跳过！
,,,
tut_movement,AVOID ATTACKS!,攻撃を避けろ！,避开攻击！
tut_target,CHANGE TARGET,ターゲット変更,更改目标
tut_target2,TARGET CLOSEST,一番近くのターゲット,攻击最近的目标
tut_attack,HOW TO FIGHT,戦い方,战斗键位
tut_hitbox,YOUR HITBOX#(JUST THAT DOT!),自分の当たり判定#(この点のみ！),你的命中范围#（就那一个点！）
tut_hitbox_e,ENEMY HITBOX#(THIS LARGE CIRCLE),敵の当たり判定#(この大きな円),敌人的命中范围#（这个大圈）
tut_primary,PRIMARY ATTACK,プライマリ攻撃,主技能
tut_secondary,SECONDARY ATTACK,セカンダリ攻撃,辅技能
tut_offensive,SPECIAL (VERY POWERFUL),スペシャル(高火力),特殊技能（非常强力）
tut_defensive,DEFENSIVE (AVOID DAMAGE),ディフェンス(ダメージを回避),防御技能（避免伤害）
,,,
loot_choose,choose your loot!,装備品を選ぼう！,选战利品！
loot_choose_again,choose again!,もう一度選んでね！,再选一次！
loot_roll,rolling...,選択中…,掷骰子……
loot_ready,ready!!,準備完了！,就绪！
loot_waiting,waiting on others...,他の人を待機中…,等其他兔子……
loot_skip,skip,スキップ,跳过
loot_skip2,skipping...,スキップ中…,跳过……
,,,
charselect_choose,CHOOSE YOUR CLASS...,クラスを選択…,选择职业……
charselect_name,enter name...,名前を入力…,输入昵称……
charselect_random,RANDOM,ランダム,随机
,,,
movelist_abilities,clName ABILITIES,clNameスキル,clName技能
movelist_ability_input,ABILITY#LIST,スキル#リスト,技能列表
movelist_ability_input_h,HIDE#ABILITIES,スキルを#非表示,不显示#技能
,,,
tab_pause,PAUSE,一時停止,暂停游戏
tab_chat,CHAT,チャット,聊天
tab_log,LOG,ログ,对话记录
tab_shop,SHOP,ショップ,买东西
chatsys_name,System,システム,系统
chatsys_client_joined,clientName joined!,clientNameが参加した！,clientName来啦！
chatsys_client_left,clientName left...,clientNameが退室した…,clientName走了……
chatsys_ally_joined,allyName joins the party!,allyNameがパーティーに加入した！,allyName入队！
chatsys_ally_left,allyName left the party...,allyNameがパーティーから退会した…,allyName离队……
,,,
vd_title,VICTORY!,勝利！,胜利！
vd_title2,DEFEAT!,敗北！,落败！
vd_subtitle_demo,CONTINUED IN THE FULL GAME...,製品版に続く…,未完待续，敬请期待游戏完整版……
vd_subtitle,THE NIGHT CALMS....,夜が明けてゆく…,夜静了下来……
vd_subtitle2,TRY AGAIN WHEN YOU AWAKE...,目が覚めたらもう一度挑戦しよう…,睡醒之后再来……
vd_subtitle3,TREASURESPHERE BROKEN...,宝玉の崩壊に成功！,宝球破坏成功……
vd_followme,FOLLOW DEVELOPMENT,開発者をフォロー,关注开发进程
,,,
invstat_level,lv levelNum,lv levelNum,levelNum级
invstat_loot,loot,装備品,战利品
invstat_dpsmax,max dps: dmgAmount,最高DPS: dmgAmount,最高每秒伤害：dmgAmount
inv_open_sm,INV,かばん,包
,,,
press_start,PRESS START,PRESS START,随便按一个键开始
,,,
treasure_small,Small trName,小trName,小trName
treasure_medium,Medium trName,中trName,中trName
treasure_large,Large trName,大trName,大trName
,,,
toybox_clear_upgrades,Clear#Upgrades,アップグレード#リセット,清除#升级项目
toybox_clear_items,Clear#Items,装備品#リセット,清除#物品
toybox_previous_loadout,Previous#Loadout,前回のアップグレード#と装備品,之前的升级项目#和物品
