key,level,English,Japanese,Chinese
hbs_flowstr,0,The Balance: Your Primary deals#70% more damage.,フロー・強さ: プライマリスキルの与えるダメージが#70%増加する。,流动-力量：你主技能伤害提升70%。
hbs_flowdex,0,The Arrow: Your Secondary deals#70% more damage.,フロー・機敏さ: セカンダリスキルの与えるダメージが#70%増加する。,流动-机敏：你辅技能伤害提升70%。
hbs_flowint,0,The Spear: Your Special deals#70% more damage.,フロー・知恵: スペシャルスキルの与えるダメージが#70%増加する。,流动-智能：你特殊技能伤害提升70%。
,,,,
hbs_flashstr,0,The Spire: Your next Primary deals#150% more damage.#Wears off when you use an attack.,フラッシュ・強さ: 次のプライマリスキルの与える#ダメージが150%増加する。#攻撃を発動する時に消滅する。,闪烁-力量：你下一次主技能伤害提升150%。#发动攻击时消失。
hbs_flashdex,0,The Bole: Your next Secondary deals#150% more damage.#Wears off when you use an attack.,フラッシュ・機敏さ: 次のセカンダリスキルの与える#ダメージが150%増加する。#攻撃を発動する時に消滅する。,闪烁-机敏：你下一次辅技能伤害提升150%。#发动攻击时消失。
hbs_flashint,0,The Ewer: Your next Special deals#150% more damage.#Wears off when you use an attack.,フラッシュ・知恵: 次のスペシャルスキルの与える#ダメージが150%増加する。#攻撃を発動する時に消滅する。,闪烁-智能：你下一次特殊技能伤害提升150%。#发动攻击时消失。
,,,,
hbs_astra,0,Circle of Power: Deal 15% more damage.,アストラ: 与えるダメージが15%増加する。,星辉：伤害提升15%。
hbs_nova,0,Enochian: Deal 50% more damage.,ノヴァ: 与えるダメージが50%増加する。,新星：伤害提升50%。
,,,,
hbs_hex,0,Vulnerability Up: Afflicted enemies take 10%#extra damage.,魔術: 苦しめられた敵が10%#多くダメージを受ける。,诅咒：受到影响的敌人所受伤害提升10%。
hbs_hex_super,0,S Vulnerability Up: Afflicted enemies take 20%#extra damage.,超魔術: 苦しめられた敵が20%#多くダメージを受ける。,超咒：受到影响的敌人所受伤害提升20%。
hbs_hex_poison,0,"Frazzle: Afflicted enemies take 10%#extra damage, as well as damage#over time.",毒魔術: 苦しめられた敵が10%#多くダメージを受け、さらにそのダメージが#持続する。,毒咒：受到影响的敌人所受伤害提升10%。#所受持续伤害也会提升。
hbs_hex_anti,0,Embolden: Deal 20% more damage.,反対魔術: 与えるダメージが20%増加する。,反咒：伤害提升20%。
,,,,
hbs_snare,0,Stormbite: Deals damage and resets#your Special upon wearing off.,ワナ: 消滅する時にダメージを与え、#スペシャルスキルをリセットする。,圈套：消失时会立刻造成伤害，#并令你特殊技能立刻结束冷却。
hbs_snare2,0,Tri-Snare: Deals damage and completely#restores and charges your Special upon#wearing off.,三重ワナ: ダメージを与え、消滅する時に#スペシャルスキルのチャージを#完全回復する。,三重圈套：消失时会立刻造成伤害，#令你特殊技能完全恢复，#还会给特殊技能充能。
hbs_berserk,0,Brotherhood: GCDs become 0.8 seconds.#Movement speed is increased.,ベルセルク: GCDが0.8秒になる。#移動速度が上がる。,狂暴：全局冷却时间变成0.8秒。#移动速度加快。
hbs_abyssrage,0,Riddle of Fire: GCDs become 0.8 seconds.#Movement speed is greatly increased.#Damage is increased by 40%.,深淵の怒り: GCDが0.8秒になる。#移動速度が大幅に上がる。#ダメージが40%増加する。,深渊激昂：全局冷却时间变成0.8秒。#移动速度大大加快。#伤害提升40%。
,,,,
,,,,
hbs_curse,0,Resistance Down: Afflicted enemies take 10%#extra damage.,呪い: ダメージを受けた敵が#10%追加でダメージを受ける。,诅咒：受到影响的敌人所受伤害增加10%。
hbs_decay,0,Decay: Deals damage once per second.,腐敗: 1秒ごとにダメージを与える。,朽败：每秒造成一次伤害。
hbs_spark,0,Thunder: Deals damage to all enemies#once per second.,スパーク: 1秒ごとに#すべての敵にダメージを与える。,星火：每秒对所有敌人造成一次伤害。
hbs_poison,0,Bio: Deals damage once per second.,毒: 1秒ごとにダメージを与える。,毒伤：每秒造成一点伤害。
hbs_burn,0,"Burn: Deals damage upon wearing off,#equal to the damage of the hit that applied burn.",燃焼: 効果が切れる時に、その燃焼効果を#付与した攻撃と同等のダメージを与える。,灼烧：消失时造成伤害，#伤害数值与造成灼烧的攻击伤害相等。
hbs_bleed,0,Bleed: Afflicted enemies take extra damage#from your abilities or loot effects.#Extra damage is reduced for allies' hits.,出血: スキルや装備品でダメージを受けた敵が#追加でダメージを受ける。#仲間が与える追加ダメージは低くなる。,出血：你技能和战利品的效果会令#受到影响的敌人受到更多伤害。#队友攻击的额外伤害减少。
hbs_sap,0,Sap: Afflicted enemies take extra damage#from abilities or loot effects.,衰弱: スキルや装備品でダメージを受けた敵が#追加でダメージを受ける。,虚弱：敌人如果处于“虚弱”状态，#技能和战利品效果对其的伤害会增加。
hbs_ghostflame,0,Death Warrant: Deals damage when applied#and upon wearing off.,霊炎: 効果が付けた時と#切れた時にダメージを与える。,魂焰：施加时和消失时都会造成伤害。
,,,,
,,,,
,,,,
,,,,
,,,,
hbs_holyshield,0,Hallowed Ground,ホリーシールド,圣盾
hbs_vanishenemy,0,Shade Shift,雲隠れ,隐身
,,,,
hbs_gravity,0,Gravity,重力,引力
hbs_gravity2,0,Gravity,重力,引力
hbs_bind,0,Bind,縛り,束缚
hbs_teleport,0,Teleport,テレポート,传送
hbs_teleport2,0,Teleport-L,テレポートL,远传送
hbs_teleport3,0,Teleport-S,テレポートS,近传送
hbs_timestop,0,Timestop,時の静止,时停
hbs_tailwind,0,Thin Ice,乱気流,乱流
hbs_tailwind2,0,Thin Ice,乱気流,乱流
hbs_tether,0,House Arrest,つなぎ縄,牵制
hbs_heavy,0,Heavy,重い,沉重
hbs_heavy2,0,Heavy,重い,沉重
hbs_heavyextra,0,Very Heavy,とても重い,难堪其重
hbs_heavyextra2,0,Very Heavy,とても重い,难堪其重
hbs_nodefense,0,No Invulnerability,ディフェンス封印,防御抑制
,,,,
hbs_fieldlimit_0,0,Fieldlimit-P,フィールド制限(紫),拘束（紫）
hbs_fieldlimit_1,0,Fieldlimit-B,フィールド制限(青),拘束（蓝）
hbs_fieldlimit_2,0,Fieldlimit-R,フィールド制限(赤),拘束（红）
hbs_fieldlimit_3,0,Fieldlimit-Y,フィールド制限(黄),拘束（黄）
hbs_fieldlimit_4,0,Fieldlimit-G,フィールド制限(緑),拘束（绿）
,,,,
hbs_fieldlimit2_0,0,Fieldlimit-P,フィールド制限(紫),拘束（紫）
hbs_fieldlimit2_1,0,Fieldlimit-B,フィールド制限(青),拘束（蓝）
hbs_fieldlimit2_2,0,Fieldlimit-R,フィールド制限(赤),拘束（红）
hbs_fieldlimit2_3,0,Fieldlimit-Y,フィールド制限(黄),拘束（黄）
hbs_fieldlimit2_4,0,Fieldlimit-G,フィールド制限(緑),拘束（绿）
,,,,
hbs_order_0,0,First,1番,第一
hbs_order_1,0,Second,2番,第二
hbs_order_2,0,Third,3番,第三
hbs_order_3,0,Fourth,4番,第四
hbs_order_4,0,Fifth,5番,第五
hbs_order_5,0,Sixth,6番,第六
hbs_order_6,0,Seventh,7番,第七
hbs_order_7,0,Eighth,8番,第八
,,,,
hbs_group_0,0,First in Line,グループ1,一组
hbs_group_1,0,Second in Line,グループ2,二组
hbs_group_2,0,Third in Line,グループ3,三组
hbs_group_3,0,Fourth in Line,グループ4,四组
